SpeciesName,ScientificName,Count,Date,Observer,Location
White-naped Woodpecker,Chrysocolaptes festivus,5,5 May 2024,lokesh tardalkar,"Tadoba Andhari reserve -- Kolara gate, Chandrapur, Maharashtra"
Nilgiri Sholakili,Sholicola major,4,5 May 2024,Sidharth Srinivasan,"Vellarimala, Kerala, Wayanad, Kerala"
Gray-sided Laughingthrush,Pterorhinus caerulatus,15,5 May 2024,Arun rai Arun rai,"Singchung Bugun Village Community Reserve (SBVCR), West Kameng, Arunachal Pradesh"
Western Crowned Warbler,Phylloscopus occipitalis,15,5 May 2024,Azan Karam,"Sambali Pari, Salkhala Upper, Neelum Valley, Kupwara, Jammu and Kashmir"
Whistler's Warbler,Phylloscopus whistleri,19,5 May 2024,Rofikul Islam,"Mandala-Phudung Road, West Kameng, Arunachal Pradesh"
White-rumped Shama,Copsychus malabaricus,15,5 May 2024,Praveen J,"Krishnagiri IN-TN 12.32066, 77.76038, Krishnagiri, Tamil Nadu"
Rain Quail,Coturnix coromandelica,8,5 May 2024,Mittal Gala,"Chitravathi River Reservoir, Chikkaballapura, Karnataka"
Large-billed Reed Warbler,Acrocephalus orinus,1,5 May 2024,Aritra Pal,"Pond off Trauma Care Centre Rd, Hooghly, West Bengal"
Collared Treepie,Dendrocitta frontalis,5,5 May 2024,Chris Campion,"Digboi--Matri Mandir, Tinsukia, Assam"
Andaman Wood-Pigeon,Columba palumboides,8,5 May 2024,Lorna L. Engleman,"Ferragunj forest, South Andaman, Andaman and Nicobar Islands"
Western Tragopan,Tragopan melanocephalus,3,5 May 2024,Hemu Tirthan,"Great Himalayan NP--Choidwari, Kullu, Himachal Pradesh"
Purple Cochoa,Cochoa purpurea,4,5 May 2024,Utsav Biswas,"Eaglenest WLS & Surroundings--Bompu Camp, West Kameng, Arunachal Pradesh"
Blue-cheeked Bee-eater,Merops persicus,41,4 May 2024,Anand Birdlife,"Puthalam Salt Pans, Kanniyakumari, Tamil Nadu"
Thick-billed Green-Pigeon,Treron curvirostra,100,4 May 2024,Chris Campion,"Dehing Patkai NP--Soraipung (Buffer area), Tinsukia, Assam"
Spectacled Finch,Callacanthis burtoni,12,4 May 2024,Mohammad Ishaq Lone,"Mathar Kokernag, Anantnag, Jammu and Kashmir"
Golden Bush-Robin,Tarsiger chrysaeus,8,4 May 2024,Omkar Dharwadkar,"Phalut Road, Darjeeling, West Bengal"
Greater Adjutant,Leptoptilos dubius,500,4 May 2024,Ayuwat Jearwattanakanok,"Guwahati Waste Disposal--New, Kamrup Metropolitan, Assam"
Bar-tailed Treecreeper,Certhia himalayana,17,4 May 2024,Darshan Ginoya,"Ranikhet Road, Ranikhet, Uttarakhand, IN (29.634, 79.424), Almora, Uttarakhand"
Ruddy Kingfisher,Halcyon coromanda,6,4 May 2024,Debtanu Baidya,"Manas NP--Banasbari (Central Range), Baksa, Assam"
Cinereous Tit,Parus cinereus,30,4 May 2024,Azan Karam,"Salkhala, Neelum Valley, Muzaffarabad, Jammu and Kashmir"
Oriental Honey-buzzard,Pernis ptilorhynchus,10,4 May 2024,Sewangi Sewangi,"Below Tha Bamphu Camp, West Kameng, Arunachal Pradesh"
Koklass Pheasant,Pucrasia macrolopha,11,4 May 2024,Kajal Joshi,"Choltu Nalah Bhagawat Himachal Pradesh, IN (31.291, 77.495), Shimla, Himachal Pradesh"
Spotted Laughingthrush,Ianthocincla ocellata,8,4 May 2024,Kousheyo Bagchi,"Sandakhphu NP, Darjeeling, West Bengal"
White-browed Bush-Robin,Tarsiger indicus,4,4 May 2024,Kousheyo Bagchi,"Sandakhphu NP, Darjeeling, West Bengal"
Snow Pigeon,Columba leuconota,100,3 May 2024,Himanshu Chaudhary,"Rakchham, Kinnaur, Himachal Pradesh"
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,8,3 May 2024,Chirantanu Saikia,"Garbhonga,RF, Guwahati, Assam"
Pale-chinned Flycatcher,Cyornis poliogenys,7,3 May 2024,Chirantanu Saikia,"Garbhonga,RF, Guwahati, Assam"
Green Cochoa,Cochoa viridis,4,3 May 2024,Kaajal Dasgupta,"Mehao WLS & Surroundings--General Area, Lower Dibang Valley, Arunachal Pradesh"
Large-tailed Nightjar,Caprimulgus macrurus,20,2 May 2024,George Rayson,"Manas NP--Banasbari (Central Range), Baksa, Assam"
Western Hooded Pitta,Pitta sordida,12,2 May 2024,Debtanu Baidya,"Banasbari Range, Baksa, Assam"
Scaly-breasted Munia,Lonchura punctulata,250,2 May 2024,Uma Vaijnath,"Byatarayana Doddi Kere, Bengaluru Urban, Karnataka"
Bugun Liocichla,Liocichla bugunorum,5,2 May 2024,Sange tsering Tae,"Singchung Bugun Village Community Reserve (SBVCR), West Kameng, Arunachal Pradesh"
White-throated Tit,Aegithalos niveogularis,6,2 May 2024,Daniel López Velasco,"Great Himalayan NP Choidwari, Kullu, Himachal Pradesh"
Asian Barred Owlet,Glaucidium cuculoides,5,2 May 2024,Bikash Dalbot Shira,"Tura Peak RF, West Garo Hills, Meghalaya"
Great Hornbill,Buceros bicornis,40,1 May 2024,George Rayson,"Manas NP--Sewali to Teklai camp, Baksa, Assam"
White-naped Yuhina,Yuhina bakeri,40,1 May 2024,Chris Campion,"Mishmi Hills--Roing-Hunli Road (Forest Gate), Lower Dibang Valley, Arunachal Pradesh"
Collared Falconet,Microhierax caerulescens,7,1 May 2024,Bijay Basumatary,"Manas NP--Banasbari (Central Range), Baksa, Assam"
Red Phalarope,Phalaropus fulicarius,1,1 May 2024,West Bengal Rarities,"Nayachar, Nadia, West Bengal"
Laughing Gull,Leucophaeus atricilla,1,1 May 2024,Gyanchandra Gyani,"Vikramshila Setu, Makhajan, Bihar, IN (25.289, 87.029), Bhagalpur, Bihar"
Nilgiri Thrush,Zoothera neilgherriensis,2,1 May 2024,Chandrasekar Sekar,"Longwood Shola, The Nilgiris, Tamil Nadu"
Tawny Fish-Owl,Ketupa flavipes,3,1 May 2024,Rama Neelamegam,"Chaffi, Nainital, Uttarakhand"
Slaty-blue Flycatcher,Ficedula tricolor,6,1 May 2024,Sheikh Tanveer Salam,"Sonamarg (34.256, 75.106), Ganderbal, Jammu and Kashmir"
Orange Minivet,Pericrocotus flammeus,16,1 May 2024,JOE M RAJA,"Nirar Dam Valparai.., Coimbatore, Tamil Nadu"
Yellow-browed Bulbul,Acritillas indica,20,1 May 2024,JOE M RAJA,"Nirar Dam Valparai.., Coimbatore, Tamil Nadu"
Indian Vulture,Gyps indicus,37,1 May 2024,Debasish Nayak,"Rajpura, Madhya Pradesh, IN (24.447, 79.881), Panna, Madhya Pradesh"
Malabar Barbet,Psilopogon malabaricus,26,1 May 2024,Vignesh Bhat,"Karikana Forest Range, Honnavara, Uttara Kannada, Karnataka"
Spot-breasted Scimitar-Babbler,Erythrogenys mcclellandi,4,1 May 2024,Rofikul Islam,"Khonoma--Parking Lot towards Benreu Road, Kohima, Nagaland"
Blue-bearded Bee-eater,Nyctyornis athertoni,9,30 Apr 2024,Tulsi Singh,"Bhagotpur Tariyal, Nainital, Uttarakhand"
Spot-breasted Laughingthrush,Garrulax merulinus,2,30 Apr 2024,Rofikul Islam,"Khonoma--Parking Lot towards Benreu Road, Kohima, Nagaland"
Broad-tailed Grassbird,Schoenicola platyurus,3,30 Apr 2024,Sreekumar Chirukandoth,"Konalar Anti-poaching Camp, Tamil Nadu, IN (10.323, 77.071), Coimbatore, Tamil Nadu"
Chestnut-vented Nuthatch,Sitta nagaensis,10,30 Apr 2024,Subhadeep Ghosh,"Walong to Helmet Top Road, Anjaw, Arunachal Pradesh"
Chestnut-bellied Rock-Thrush,Monticola rufiventris,7,30 Apr 2024,Kaajal Dasgupta,"Walong to Helmet Top Road, Anjaw, Arunachal Pradesh"
Oriental Magpie-Robin,Copsychus saularis,30,29 Apr 2024,Gopala Krishna Baliga,"Gir Route 2, Junagadh, Gujarat"
Rusty-bellied Shortwing,Brachypteryx hyperythra,4,29 Apr 2024,Andy Clements,"Mishmi Hills--65 km to 12 Gulai, Lower Dibang Valley, Arunachal Pradesh"
Short-tailed Shearwater,Ardenna tenuirostris,1,29 Apr 2024,Dibyendu Ash,"Melli Bridge Checkpost, Kalimpong, West Bengal"
Long-billed Dowitcher,Limnodromus scolopaceus,1,29 Apr 2024,Chirag Munje,"Kaziranga NP & Surroundings--Central Range (Kohora), Golaghat, Assam"
Bengal Tiger,Panthera tigris tigris,,,,Sundarbans National Park
Indian Elephant,Elephas maximus indicus,,,,Jim Corbett National Park
One-horned Rhinoceros,Rhinoceros unicornis,,,,Kaziranga National Park
Asiatic Lion,Panthera leo persica,,,,Gir National Park
Snow Leopard,Panthera uncia,,,,Hemis National Park
Indian Leopard,Panthera pardus fusca,,,,Bandipur National Park
Nilgiri Tahr,Nilgiritragus hylocrius,,,,Eravikulam National Park
Blackbuck,Antilope cervicapra,,,,Velavadar National Park
Indian Wild Ass,Equus hemionus khur,,,,"Wild Ass Sanctuary, Little Rann of Kutch"
Gharial,Gavialis gangeticus,,,,National Chambal Sanctuary
Indian Bison (Gaur),Bos gaurus,,,,Nagarhole National Park
Red Panda,Ailurus fulgens,,,,Singalila National Park
Indian Pangolin,Manis crassicaudata,,,,Daroji Sloth Bear Sanctuary
Sloth Bear,Melursus ursinus,,,,Daroji Sloth Bear Sanctuary
Indian Peafowl,Pavo cristatus,,,,Keoladeo National Park
Great Indian Bustard,Ardeotis nigriceps,,,,Desert National Park
Lion-tailed Macaque,Macaca silenus,,,,Silent Valley National Park
Golden Langur,Trachypithecus geei,,,,Manas National Park
Wild Water Buffalo,Bubalus arnee,,,,Manas National Park
Indian Wolf,Canis lupus pallipes,,,,Velavadar National Park
Bengal Tiger,Panthera tigris tigris,,,,Sundarbans National Park
Indian Elephant,Elephas maximus indicus,,,,Jim Corbett National Park
One-horned Rhinoceros,Rhinoceros unicornis,,,,Kaziranga National Park
Asiatic Lion,Panthera leo persica,,,,Gir National Park
Snow Leopard,Panthera uncia,,,,Hemis National Park
